Core	Mode	Notes
u503_c0000	C1	
u503_c0001	C1	
u503_c0002	C1	
u503_c0003	C1	
u503_c0008	B1	Merger
u503_c0009	B1	Merger
u503_c0013	Alone	
u503_c0014	Alone	
u503_c0016	C1	
u503_c0017	C1	
u503_c0021	C1	
u503_c0023	C1	Super odd, swept up.
u503_c0024	C1	
u503_c0026	Alone	
u503_c0027	B2	Merger
u503_c0028	B2	Merger
u503_c0052	B3	
u503_c0053	B3	
u503_c0055	Alone	
u503_c0056	B3	
u503_c0057	Alone	
u503_c0058	Alone	
u503_c0069	Alone	
u503_c0074	Alone	
u503_c0076	Alone	
u503_c0077	B4	
u503_c0078	B4	
u503_c0083	Alone	
u503_c0084	Alone	What the hell?
u503_c0085	B5	
u503_c0086	B5	
u503_c0088	Alone	S2
u503_c0089	Alone	S2
u503_c0090	Alone	S2
u503_c0091	Alone	S2
u503_c0093	C6	
u503_c0094	C6	
u503_c0095	C6	
u503_c0096	C6	
u503_c0097	C6	
u503_c0098	C6	Large
u503_c0103	C5	
u503_c0104	C5	
u503_c0105	C2	
u503_c0106	C2	
u503_c0107	C2	
u503_c0108	C2	
u503_c0109	C2	
u503_c0110	C2	
u503_c0112	C2	
u503_c0116	B6	Found
u503_c0119	B6	Found
u503_c0124	Alone	
u503_c0126	C5	
u503_c0127	C5	
u503_c0128	C5	
u503_c0130	Alone	
u503_c0131	Alone	
u503_c0136	Alone	
u503_c0137	Alone	
u503_c0138	Alone	
u503_c0140	Alone	
u503_c0142	C5	
u503_c0144	C5	
u503_c0145	Alone	
u503_c0146	C5	
u503_c0147	C2	
u503_c0148	Alone	Great Arms
u503_c0157	C2	
u503_c0158	C2	
u503_c0159	C2	Major
u503_c0160	C2	
u503_c0161	C2	
u503_c0162	C2	
u503_c0163	C2	
u503_c0164	C2	
u503_c0165	C2	
u503_c0166	C2	
u503_c0174	Alone	One, Merger, Tides
u503_c0182	C2	Major
u503_c0185	Alone	
u503_c0186	Alone	
u503_c0188	Alone	
u503_c0189	Alone	
u503_c0190	Alone	
u503_c0191	Alone	
u503_c0192	Alone	
u503_c0193	Alone	
u503_c0196	B7	
u503_c0197	Alone	
u503_c0198	B7	
u503_c0200	Alone	
u503_c0202	Alone	Merger
u503_c0203	Alone	
u503_c0206	C2	Major
u503_c0207	C2	
u503_c0208	C2	
u503_c0210	C2	
u503_c0212	B12	
u503_c0213	C3	Near S2, but its own thing
u503_c0214	C3	
u503_c0215	C3	
u503_c0216	C3	
u503_c0218	Alone	Tides
u503_c0219	Alone	
u503_c0220	Alone	
u503_c0221	Alone	
u503_c0222	C4	
u503_c0223	Alone	
u503_c0226	C4	
u503_c0227	Alone	
u503_c0228	B12	
u503_c0229	Alone	Might be cool
u503_c0230	C4	
u503_c0231	Alone	
u503_c0232	C4	
u503_c0233	C4	
u503_c0234	C4	
u503_c0235	C4	
u503_c0236	C4	
u503_c0237	C4	
u503_c0241	C4	
u503_c0244	Alone	One, Tides, Merger
u503_c0245	Alone	One, Tides, Merger
u503_c0246	C4	
u503_c0248	Alone	Show the caul
u503_c0257	B8	
u503_c0258	B8	
u503_c0269	Alone	
u503_c0270	B9	
u503_c0271	B9	
u503_c0274	B11	
u503_c0275	B11	
u503_c0291	Alone	Very isolated
u503_c0294	B10	Found
u503_c0295	B10	Found